DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointPrice,DSTFlag
09/05/2026,9,3,HB_BUSAVG,22.0,N
09/05/2026,9,4,HB_BUSAVG,21.26,N
09/05/2026,10,1,HB_BUSAVG,21.69,N
09/05/2026,10,2,HB_BUSAVG,20.96,N
09/05/2026,10,3,HB_BUSAVG,20.41,N
09/05/2026,10,4,HB_BUSAVG,20.9,N
09/05/2026,11,1,HB_BUSAVG,20.95,N
09/05/2026,11,2,HB_BUSAVG,21.23,N
09/05/2026,11,3,HB_BUSAVG,22.47,N
09/05/2026,11,4,HB_BUSAVG,22.84,N
09/05/2026,12,1,HB_BUSAVG,21.64,N
09/05/2026,12,2,HB_BUSAVG,23.39,N
09/05/2026,12,3,HB_BUSAVG,25.21,N
09/05/2026,12,4,HB_BUSAVG,27.62,N
09/05/2026,13,1,HB_BUSAVG,27.49,N
09/05/2026,13,2,HB_BUSAVG,27.13,N
09/05/2026,13,3,HB_BUSAVG,28.89,N
09/05/2026,13,4,HB_BUSAVG,30.51,N
09/05/2026,14,1,HB_BUSAVG,29.85,N
09/05/2026,14,2,HB_BUSAVG,40.78,N
09/05/2026,14,3,HB_BUSAVG,33.25,N
09/05/2026,14,4,HB_BUSAVG,30.27,N
09/05/2026,15,1,HB_BUSAVG,36.14,N
09/05/2026,15,2,HB_BUSAVG,44.93,N
09/05/2026,15,3,HB_BUSAVG,41.58,N
09/05/2026,15,4,HB_BUSAVG,40.88,N
09/05/2026,16,1,HB_BUSAVG,40.55,N
09/05/2026,16,2,HB_BUSAVG,33.45,N
09/05/2026,16,3,HB_BUSAVG,36.77,N
09/05/2026,16,4,HB_BUSAVG,48.83,N
09/05/2026,17,1,HB_BUSAVG,39.77,N
09/05/2026,17,2,HB_BUSAVG,38.83,N
09/05/2026,17,3,HB_BUSAVG,52.23,N
09/05/2026,17,4,HB_BUSAVG,45.46,N
09/05/2026,18,1,HB_BUSAVG,42.17,N
09/05/2026,18,2,HB_BUSAVG,42.53,N
09/05/2026,18,3,HB_BUSAVG,57.73,N
09/05/2026,18,4,HB_BUSAVG,62.98,N
09/05/2026,19,1,HB_BUSAVG,47.92,N
09/05/2026,19,2,HB_BUSAVG,51.92,N
09/05/2026,19,3,HB_BUSAVG,59.72,N
09/05/2026,19,4,HB_BUSAVG,59.23,N
09/05/2026,20,1,HB_BUSAVG,48.86,N
